# k              sigma          delta      dc    db   t_trans   itmax       nmax        dt    dx     
  0.15010000  -0.00228206   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.16010000  -0.00277850   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.17010000  -0.00334347   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.18010000  -0.00397984   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.19010000  -0.00469009   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.20010000  -0.00547648   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.21010000  -0.00634091   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.22010000  -0.00728519   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.23009999  -0.00831088   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.24009999  -0.00941937   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.25009999  -0.01061195   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.26009999  -0.01188969   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.27009999  -0.01325363   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.28009999  -0.01470463   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.29009999  -0.01624355   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.30009999  -0.01787103   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.31009999  -0.01958771   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.32009999  -0.02139417   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.33009999  -0.02329090   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.34009999  -0.02527841   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.35009999  -0.02735706   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.36009999  -0.02952728   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500
  0.37009999  -0.03178939   2.29999992  1.000  0.435      0      50000       2800  0.010  0.500

  0.00010000  -0.00009359   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.01010000  -0.00005772   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.02010000   0.00004572   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.03010000   0.00020906   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.04010000   0.00042102   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.05010000   0.00066846   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.06010000   0.00093782   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.07010000   0.00121619   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.08010000   0.00149213   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.09010000   0.00175654   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.10010000   0.00200130   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.11010000   0.00221972   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.12010000   0.00240625   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.13010000   0.00255636   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.14010000   0.00266609   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.15010000   0.00273329   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.16010000   0.00275570   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.17010000   0.00273130   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
  0.18010000   0.00265840   4.00000000  1.000  0.250     49      50000       2800  0.010  0.500
